,uuid,id,sex,weight
0,3b144fdfdb9f4e02b0f65aed674fbd72,0268,1,24.5
1,960fd92c91f541f6b85889426c39a0fe,0261,1,27.1
2,ca10f050724d47f5971c3530ef341a8d,0236,0,25.5
3,3c4dcc3c6d83425dab0d0acd75227f99,0236,0,25.5
4,46d3f67bbf684992ac945ce7c1991ae7,0238,1,25.8
5,ecb27b5ef70c48e69d6296a5e91e3faf,0230,0,25.5
6,9ae21f9f018d449c87e67cbf7fe488f9,0273,1,22.5
7,5aef30b5903a4d169cf1ab3705d2007d,0232,1,23.6
8,3d4bcf80270c489c9d890c6040cceb93,0268,1,24.5
9,c251f627c0bc4b37a300cb31baee1139,0273,1,22.5
10,ac2e6ff503924de7b848a83cd6d83a13,0236,0,25.5
11,3f7fac8ff9bf425bb2f26495b6e0791f,0236,0,25.5
12,dd8294bd065c48b2882d79b2b8be5104,0236,0,25.5
13,8ee7550d638e42fa8f55867444770eef,0239,1,22.8
14,efe6747b9a2c4db7ab30aa59339c602b,0236,0,25.5
15,5c90bd59cfd74b4f8c8d8f6fd135f512,0273,1,22.5
16,25996f72fe8040d9be8410d4593a00ef,0251,0,24.2
17,9782bca62cac4398b4c57107914af733,0239,1,22.8
18,7b85ce2504aa488d8fbcc05dd3fc4172,0238,1,25.8
19,a66287dd926d4b1d98698fd380a06c28,0238,1,25.8
20,5159eacc4d8243e0804c7fc2e978d8fc,0236,0,25.5
21,8e5192086ad2413b99aed27ed75843fc,0239,1,22.8
22,ebd61e0c573f404abb9c00dfbe12a1a9,0274,0,25.4
23,031ca5558ddb413e82997de6b440d0b8,0247,1,21.8
24,310afc048d3745778237ebee3307e312,0251,0,24.2
25,b8bc5210aa9c4f88b67c294a4ff05d3e,0236,0,25.5
26,4d9ad164682547c4a6e977ca4a75f12e,0236,0,25.5
27,efe20d2746ab4985b894199948504e48,0236,0,25.5
28,25aa915dcf8741fb80541b88feeebfbe,0271,1,20.5
29,706ab366ce8d422fa8a83a3c49f42a08,0271,1,20.5
30,b830cf05d2694fd285a369d8ddd190c9,0236,0,25.5
31,f31cb09d47a246eb9a02530d7fab1856,0267,0,20.1
32,213fb23819e44bd29616508a1bf019f0,0236,0,25.5
33,0a90bcb9a8234ac08be13c9881555563,0272,1,22.3
34,560fda52c87449ca9dadc2c8bb33a628,0268,1,24.5
35,58de9c20e52f4fa393f8f06f1b6a5dd9,0238,1,25.8
36,fb60337f16e048829886f42d9b3268ea,0265,1,23.4
37,8ca1aace84d14e78a8df7858226d47d2,0253,1,21.8
38,f2f848e2b7e7476aa83e3b6625f671e4,0238,1,25.8
39,40726b524ec844418b7390d31017461b,0238,1,25.8
40,4032230af58f4de9b41f63252084b9d6,0236,0,25.5
41,94e45689a8fd43d9a70e7109c84c8376,0230,0,25.5
42,5e91204b35824294824c042577bde77c,0261,1,27.1
43,4b89b41207b24216a38cdd19408022b4,0268,1,24.5
44,1dbd11cc971a436685a36c2ef13232f0,0238,1,25.8
45,cc2838ebf786491aaa33afc5513f69c9,0236,0,25.5
46,dad688c78eee4a17868a469ebca2db64,0238,1,25.8
47,451320d138b74462b4ff7255b7bd0619,0272,1,22.3
48,ee7e9384f8674b2fafa15572ce901d5e,0272,1,22.3
49,18f66da079d4471db871624cb6ab8fc2,0268,1,24.5
50,86dd02bdcab5488297a1b416fdb40006,0268,1,24.5
51,f6f09697cf0a437187946b88da3ea27b,0251,0,24.2
52,03276e30c7e04691b24b0d652f070bc1,0268,1,24.5
53,85226bb9c3bf4c6dbb01dfa4598ebb41,0239,1,22.8
54,2c1d29486c2141d597c1268fc3df10f0,0272,1,22.3
55,1bf8296ae2344718b8c4e943e1564603,0268,1,24.5
56,e25d4e58a95d4a9a84a0bf862cd63fb4,0236,0,25.5
57,31a1b67345254c29aca46ef3852fe55d,0236,0,25.5
58,26cbdf757fce400790f88cd944878179,0236,0,25.5
59,fcca3281068d45a6a8d755b535a9d909,0238,1,25.8
60,93bd14238e84418e819115149855375e,0261,1,27.1
61,b3287109fe814993906d982cb9dea2b7,0236,0,25.5
62,2ade934b0c8445d5869f1e274dce22cc,0277,0,26.0
63,8cb9ee260d6243369c6cdf505fd74d7d,0268,1,24.5
64,fa0ca8ed6e2142908594359886f768b3,0238,1,25.8
65,abc69a7c952c4963ad7ca15e0303540e,0238,1,25.8
66,86e0a49884934d7f9bb3fbdbbef5af86,0272,1,22.3
67,5809b1561e6847078fd98fc56bc78041,0236,0,25.5
68,32e5dfa1b03748519b7ce76b5fb1c4ae,0268,1,24.5
69,2a9930aaae514dd89b8047cbbf3e9252,0239,1,22.8
70,efa1323a13a14ae4bcb2c43e7c6adfb9,0247,1,21.8
71,54dc10e75aac43c3828227826b97919a,0238,1,25.8
72,2c7f816877bf4b769759e65a15713239,0236,0,25.5
73,85e45ca1be46445aac7f2fb51049627f,0238,1,25.8
74,f20f927f8b424ab490177341bdac2096,0236,0,25.5
75,e95e935a7d0747e4bcf1e79472a4c736,0236,0,25.5
76,014c4190c4b14a0fb7f0018edc587bcd,0267,0,20.1
77,22c5e1e9647f4edfad8b67fb6d569f57,0236,0,25.5
78,ff3fd2bdbd9a4f569dc3d177d498247b,0234,1,24.6
79,20f7e5f5f6bf4250b2f7908afa72897b,0238,1,25.8
80,3a37bec1a899476ca056cca3b56302b1,0274,0,25.4
81,2134c22ece484bc2bcc5c0228af19cb0,0268,1,24.5
82,d2a64a1a81264b1ba6d990717b05776f,0236,0,25.5
83,b6b789b94d2e409da82e842848cf988b,0236,0,25.5
84,acf24a583d03429082ae30843ea7fa11,0253,1,21.8
85,3ba6484988924802acc967afc6472fc0,0236,0,25.5
86,50268bfd0f0746829506a1a373f4d1b0,0274,0,25.4
87,f07fd6d3a683457dad9072444ae2886b,0230,0,25.5
88,ea3f8b8e20d942eb96970a4d75a40050,0268,1,24.5
89,d39613bf094043bba81151980d294b71,0257,1,23.3
90,6da8368388a5418488e5a301e97409f6,0239,1,22.8
91,39a43bbdda2d4017a74f5a5094a2d2a1,0236,0,25.5
92,b98816a9a4644cf78f5a5e73f14a9454,0253,1,21.8
93,b16c468099534584aa38a4fd687db134,0236,0,25.5
94,0829849f0b6c481a89e24659552fd558,0235,1,22.9
95,1c53cb5bbac9474a9b1d3b5db57cbc38,0268,1,24.5
96,4d415c52ae634a4d9435b6b50a8142e7,0238,1,25.8
97,d435f9c0a4c44985ace99fc5b7985dc8,0268,1,24.5
98,bd0202e3b13947c996004abec1fd3cc7,0268,1,24.5
99,05a24cd7c75147a58b0fc42431b87625,0230,0,25.5
100,5d878c7a623c443da261ac4b885f6ef7,0253,1,21.8
101,f604fdd70a294487b967b236e60506f6,0268,1,24.5
102,7a3bf25facae4a9586775ec4ffb7271e,0236,0,25.5
103,1307396f04b0498981849ed7c732a228,0234,1,24.6
104,340d56778be145e4b7c2abf95fd82394,0268,1,24.5
105,3e7323c94cdc433e871a4a52056a9305,0268,1,24.5
106,7d061258ebd84233b8eec713c5325aaf,0239,1,22.8
107,48d014dfac0c49efb5845c2f4443e534,00221,1,22.1
108,f8a9933720784175a0f9bf3a688c9762,0236,0,25.5
109,9a4182d256ff485b9c3cc98cf53a83f3,0274,0,25.4
110,c719aaff9c324e99beceb24725a0ddec,0268,1,24.5
111,702a8ca1ff994ddd99eb3f8e096eea37,0272,1,22.3
112,8b7d5b304d78447f9c8e2c01ba68b6ee,0276,1,23
113,6ed5aa4ef904498b899a8166c10e82cd,0253,1,21.8
114,43cec412a6034595834c1e6c0229eba4,0232,1,23.6
115,c06ad293ebc947f483bfd50f3a282816,0271,1,20.5
116,9212883a55774a13a4106381dadd87d1,0233,0,24.2
117,65596c4ef809462a9429c2c5f1f4e205,0271,1,20.5
118,07e46b8a7a394a0f9f420dfb6ea61d5e,0272,1,22.3
119,0798e7ee972b41a7a986d89795a4cfe9,0239,1,22.8
120,615027aa09da471caba1692bab73904e,0268,1,24.5
121,00635ae09a834ebf86ee85c58c12ff82,0251,0,24.2
122,01a35bd76e5b43c9adbcd124ddbb4e88,0236,0,25.5
123,ea5a9d32864a4a8b80e8c547345b884a,0272,1,22.3
124,b0f47a2704da424aabf07be4cf12ad67,0253,1,21.8
125,48e8c7de5b884f8bb726bbae88bb846a,0274,0,25.4
126,27e41b8d1d70495a86b4cc803de9a170,0238,1,25.8
127,8a9ad1eba5504aecbf84761997a75e81,0230,0,25.5
128,b25cd35355f54160950d606c739edfb3,0241,0,25.5
129,9c3597a88fbc4b2aa297b8ad85dff4d7,0268,1,24.5
130,6c86e4b05e78460aa2e6c3fbc3f92cf7,0239,1,22.8
131,32b1f3bcee1344ad9dd66422113fdccf,0236,0,25.5
132,9aad5a5bfd884868905d95ad4667ee18,0236,0,25.5
133,85be77fe0d4e4fc99dfae6b71f1eed6d,0236,0,25.5
134,5fb789f8091440cea903dbb4017c3bbb,0230,0,25.5
135,1cc811a25d9f4864a2b3f498844a09d6,0272,1,22.3
136,68712005ab4540d1969018d7644bf172,0236,0,25.5
137,c5a0a045db0041ca892ded2db41739af,0267,0,20.1
138,29c0549b96ff431a9951bdfa1e5f71dd,0236,0,25.5
139,6a8c6878235241488248c620ae31b68d,0234,1,24.6
140,23a66c65f98840dfa30316de2dd92db1,0238,1,25.8
141,1bc4012c63684e658a92f9cd7424b47c,0268,1,24.5
142,c3af11160be04a46a8659c331be7901e,0236,0,25.5
143,3eaab8a1d5b64856b6df4116c530fe47,0230,0,25.5
144,89e3b4ee92964077aad30bb80b8bfb17,0236,0,25.5
145,61b64952897e4c77961cec9d0bfa6c11,0235,1,22.9
146,c5593fa5289149859ad011d6e1793cb6,0232,1,23.6
147,d589cc033f514f7aa45d8b7e06bea66a,0251,0,24.2
148,e4a005dfeeb2446797825eddedad2aa7,0272,1,22.3
149,0a0d1425a8a248ec92aadf82174605c1,0239,1,22.8
150,bbc9e002ce33462494be035f9fcaa51d,0238,1,25.8
151,c50d6e69b533487885e5e200ad12dcfc,0274,0,25.4
152,4e07e4de29094a8b8809b9b66b2465bd,0261,1,27.1
153,fd8d01dac214431b9dc7a0191e86432f,0236,0,25.5
154,a82fbc17825140a69de901eddbb1f84a,0236,0,25.5
155,1ef33987e4b042569954ed1b281d1234,0261,1,27.1
156,fbdeb9122e004d68b6b8a85a884ff5f3,0273,1,22.5
157,885aef34c21e4d40817cc9989a938aa3,0272,1,22.3
158,3e7145b7daea41bcacb0628bfb30303f,0251,0,24.2
159,0fcdcd745ee441d5bc68ba5d8a8e19f0,0236,0,25.5
160,a89bb859104045748cf348b872e67583,0236,0,25.5
161,821dbc377c194ba886ab5ca6dd77f30b,0253,1,21.8
162,b9eed9599f754c4f968d04ac982650f9,0234,1,24.6
