,uuid,id,sex,area,width,height,MA,ma,% area,eccentricity,perimeter,symmetry,weight,x,y,centroid_x,centroid_y,center distance,orientation
0,3b144fdfdb9f4e02b0f65aed674fbd72,0268,1,292877.0748897867,564,312,589.8292846679688,226.87147521972656,46.2195009317462,0.9230669918481552,1797.3565499782562,0.2789115646258503,24.5,103,105,291.26669756191296,390.79475760418666,61.08078586158967,-1.305797734383789
1,960fd92c91f541f6b85889426c39a0fe,0261,1,308998.4726334558,648,256,681.1049194335938,217.1859893798828,58.5333498916185,0.9477974418432779,1741.8174459934235,0.32564551799408337,27.1,80,202,328.9446619950536,427.0004590421944,88.99525634480872,1.4414171246038545
2,ca10f050724d47f5971c3530ef341a8d,0236,0,292174.50111621513,569,324,671.221435546875,167.00338745117188,36.03462147994636,0.9685535450016522,1568.8123936653137,0.2692508886057273,25.5,195,103,270.91533371876403,489.13916618487826,72.10318183134318,1.1835078207628433
3,46d3f67bbf684992ac945ce7c1991ae7,0238,1,274668.6621866603,613,210,637.3300170898438,188.98289489746094,60.03943908851884,0.9550257673626267,1589.5087900161743,0.3673646627424491,25.8,117,181,288.28581487044687,444.6955618663162,52.53404799428262,1.5204529625702423
4,ecb27b5ef70c48e69d6296a5e91e3faf,0230,0,302622.3343175328,510,345,568.79052734375,196.76718139648438,41.69638996973627,0.9382567752294757,1437.3910398483276,0.3610528887574421,25.5,171,96,297.28339372735223,422.6383231288267,57.29957557281158,-1.0872197077871497
5,9ae21f9f018d449c87e67cbf7fe488f9,0273,1,283357.2815161372,564,252,620.0967407226562,191.14381408691406,52.300058868051465,0.9513059118399942,1493.8864257335663,0.26777893639207506,22.5,139,133,244.85557880221583,422.54678918713296,5.068379146350578,1.3680254244398133
6,5aef30b5903a4d169cf1ab3705d2007d,0232,1,270170.7408121176,655,224,666.9916381835938,207.3895721435547,61.495041147921505,0.9504319012985366,1727.248904466629,0.25917140881774187,23.6,138,131,246.13787676409984,480.22629142981395,56.56031629262382,-1.5615427288734496
7,3d4bcf80270c489c9d890c6040cceb93,0268,1,287740.5412223493,561,281,597.0743408203125,197.1355743408203,46.486698674396834,0.9439217555973188,1694.2438521385193,0.2951237403961237,24.5,159,119,281.8149976375799,439.0023624201129,44.42482307916631,-1.2825023093662862
8,c251f627c0bc4b37a300cb31baee1139,0273,1,280817.24874238,552,238,610.0427856445312,188.61471557617188,53.88775545489125,0.9510026379984398,1468.4305820465088,0.25605131207208126,22.5,129,152,257.6552657813442,407.95560670022525,23.856465919489434,1.393999413153399
9,ac2e6ff503924de7b848a83cd6d83a13,0236,0,266517.18525488116,564,325,665.3565063476562,166.82211303710938,36.013006134969324,0.9680581180550488,1560.7118884325027,0.2761927919165721,25.5,194,104,275.00781290489766,484.715859030837,70.08539435743221,1.1772386278440772
