,uuid,id,sex,weight,predicted_weight,area,width,height,MA,ma,eccentricity,perimeter,% area,symmetry,centroid_x,centroid_y,orientation,center distance,x,y
1834,6f8417321f5c4fe5ad3669949cc3ed0b,8440,1,24.0,26.80000000000005,210303.94323290844,378,193,418.01104736328125,165.761474609375,0.9180139580404152,1066.3645666837692,62.21424558336975,0.4728848600508906,260.2952780127663,431.5144966546181,-1.3675515238665532,21.641764474916133,245,166
239,2d88a2b6aee64f839bc77a73a5e23337,0268,1,24.5,14.3,306583.99987288384,590,202,616.6649780273438,173.34130859375,0.959680010521776,1534.5971026420593,57.425742574257434,0.3079225593848689,243.52928217854628,309.33157273101267,-1.4661079424278889,114.72272680266464,32,140
1092,63624d260f534dd5b926bc0c1a4e8a45,TA5751,1,26.8,16.0,256668.84167623817,676,242,672.5946044921875,239.88755798339844,0.9342342747365724,1763.072279214859,59.478717201166184,0.2773820644558617,257.0990904875025,469.2111564342568,1.5242560433458472,48.336606848460455,108,140
1595,26e5d9dff7d84cc3a9d4390983666143,TA0185,0,22.8,26.80000000000005,222195.25715514953,545,428,677.4124755859375,162.10606384277344,0.9709452203379748,1587.4225653409958,28.849457871885964,0.3057612785703839,286.0804664272752,470.1383064983204,0.9646262976576688,65.20853251445085,175,39
514,72dc1dbd6a7f4bc68902a5ba47109b4b,TA0441,1,13.5,20.4,100193.97115597568,288,275,373.2939453125,138.36003112792972,0.9287740831269654,933.300639271736,44.55286561264822,0.4556598102506469,308.406344066982,522.6709584397845,0.8727654095316345,120.0640910015813,373,179
566,1096edfe0e8a4f7a99dc1711d72f53f7,TA0440,1,16.0,27.2,209285.60052676726,626,326,698.9581298828125,202.91717529296875,0.9569315076591536,1795.7585709095001,39.787531577048,0.31141479641721265,245.53019064350315,516.9364087882534,1.256005749527634,93.10080067867749,210,62
962,e653a11565764a2b8cb7a3ebf5fd2c68,TA977,0,16.8,22.300000000000004,180576.36146518585,525,417,645.8606567382812,192.9409484863281,0.9543362180000802,1587.2560447454453,34.99869536855838,0.21040567851333367,198.8626834256192,450.2588468852028,0.917167572524056,48.803748367121855,181,20
271,7f61f02035044b23ac71dc937179d3d7,TA977,0,16.8,27.2,181507.40161459093,526,419,651.1689453125,191.25157165527344,0.9558961115451351,1578.670258283615,34.949099044414766,0.219460576828428,195.30939411314984,447.5116709671254,0.9170233077619168,50.498009131055184,178,16
482,a8b29a38ee6c4750b72f52cb41f4f015,TA0185,0,22.8,18.9,220363.04697619504,536,428,666.6507568359375,163.1408233642578,0.969594530268442,1573.1799247264862,28.63908020701625,0.3054279579244924,283.20851640400963,469.2641085006183,0.9551069489047984,62.576476476319,181,34
800,e46c2caa5a0e4675bb3965f15618b42c,TA0427,0,18.9,13.9,241363.0864111421,645,316,655.6464233398438,239.65267944335938,0.9308030076021324,1929.5230705738068,46.48178567977583,0.2028340289586232,213.7654571843251,501.0370251739152,1.3733350908156108,81.38153650794462,194,55
1796,ce35da775253440ebdd17c4d091710ff,TA433,0,17.7,26.80000000000005,224467.5627394381,563,432,653.4675903320312,191.35504150390625,0.9561644614050666,1867.446950554848,34.036220871327245,0.2950710505975385,211.57525944566936,421.10318953674965,-0.9280334864821708,28.571968543329426,125,9
1000,03f8e4cae17c4f4ab357ee7c7b2ad173,TA433,0,17.7,20.2,216128.5809243812,534,424,627.032958984375,197.9988250732422,0.9488354309220484,1809.505825638771,34.885639869552854,0.3003244130113234,219.54916179618542,440.3596339322222,-0.9367559344721192,26.189203990097102,165,25
456,0b7ff3169da44b95974a84779d29c8c3,TA0432,0,14.3,20.400000000000002,189573.83415392364,449,334,493.7147216796875,208.4691162109375,0.9064812354552044,1463.373794913292,42.331246990852186,0.22683974879052854,259.8097886378233,402.0485052840544,-1.0687202166205316,29.56849414730854,200,98
194,92fd1c7a9e2741b3bbaaccd6a2bed0dc,0236,0,25.5,13.5,290696.8929094409,488,296,484.8750305175781,295.9957275390625,0.7920488096618967,1627.1900293827055,57.159961843360406,0.4057540815161548,284.34046171459056,480.3298469472818,-1.5693506192229634,71.68771304880127,256,145
786,3016cc7bd81c4e96ae8beacf7b1cc2e4,TA5751,1,26.8,26.799999999999986,272198.62216090545,599,335,580.1663208007812,305.1623229980469,0.85049007023658,1762.971773982048,51.99089125150103,0.2622963045829138,255.38725503556927,475.2579792308321,-1.4223549714046757,53.51773586726244,179,117
1519,d48a784e87f241a7a539798c28c0f1e7,TA0438,1,13.9,26.80000000000005,224818.75319695138,571,188,621.7069091796875,162.18594360351562,0.9653733908936636,1481.3422694206238,57.92920323759434,0.2738406294247303,239.4146868553627,415.4266429042534,1.512209908029359,8.593313875826635,121,135
495,645320a08e094bdeb5539d36db13a414,TA0477,1,16.1,22.8,196874.72181205114,585,290,562.4884643554689,283.4337158203125,0.8637663765683647,1679.883461356163,51.473257088070135,0.19110059952697872,201.54891484382514,468.45239952554465,-1.4923228839636562,58.77500976831954,195,47
602,9785a58f81e3429cb0372ef3381919f7,TA0855,0,26.6,22.900000000000002,279780.76373782876,439,392,471.5010070800781,304.84356689453125,0.7628813356528795,1608.0773315429688,48.91641195449142,0.4768036519847978,192.34489169940545,383.4451038887372,0.9935959102473988,62.57562581178648,137,37
785,0aecedb935e24908ba657ffca21cf16c,TA5719,0,26.8,26.80000000000005,184309.08804664944,384,268,446.1226196289063,169.34556579589844,0.9251530854897329,1134.4133371114729,47.76254923927578,0.4060057358151043,295.32096558697145,307.0503917957607,-1.1081931639891691,129.3739544599297,105,163
1,960fd92c91f541f6b85889426c39a0fe,0261,1,27.1,26.800000000000004,308998.47263345576,648,256,681.1049194335938,217.1859893798828,0.947797441843278,1741.8174459934235,58.5333498916185,0.32564551799408337,328.94466199505365,427.0004590421944,1.4414171246038543,88.99525634480871,80,202
1041,c54fbb6d52164150b110b57fce3f4029,TA433,0,17.7,26.80000000000005,231884.56864583262,606,357,708.4285888671875,168.10519409179688,0.9714381088655204,1697.7169407606125,32.07197643136402,0.26121986861333085,234.61734177215192,401.5892911392405,-1.1780482712183988,23.04805591019652,74,76
