,uuid,id,sex,weight,predicted_weight,area,width,height,MA,ma,eccentricity,perimeter,% area,symmetry,centroid_x,centroid_y,orientation,center distance,x,y
1218,150fcf8a701a46dba0929e439effdf58,TA0440,1,16.0,18.900000000000002,207728.78226681316,603,317,666.6179809570312,205.9984436035156,0.9510554640904588,1766.8296386003494,40.717328998999776,0.321570279855332,256.7675836145884,514.3753654434423,1.2587855777104295,91.91767261690191,223,79
1135,27b482f2c6944e4a872c87f8da8da985,TA5751,1,26.8,16.10000000000001,259068.6986876565,680,240,684.23583984375,228.2382049560547,0.9427265460672166,1776.5037376880646,59.02719174871075,0.2910119112126974,262.145668197023,482.66685516567145,1.4961848300131866,62.70749967047408,116,149
1164,3990fc6824be420c87c19f7a2118d89a,TA0427,0,18.9,26.799999999999965,237886.699649984,641,311,646.5372314453125,242.2552032470703,0.927147546440514,1933.380935192108,47.00887880235706,0.20244529569187172,213.5554752255463,491.77213204895827,1.3812412175031268,72.74870976868345,185,58
487,fd246a4a3e2f493783aae525d7db09e5,TA0477,1,16.1,25.400000000000002,193300.5182252698,441,348,432.8641357421875,312.3583984375,0.6923014591133985,1663.4986853599548,55.666948891625616,0.5558387528145109,243.37615629806302,401.4371196754564,-1.2233420141409541,22.81407460075088,197,75
668,e63f9710a6584094b0118bfda023c978,TA433,0,17.7,27.200000000000014,201431.32551700878,527,425,616.951904296875,204.69137573242188,0.9433573176212344,1813.8906016349792,34.3285365335599,0.3085466266675177,217.39993593534402,451.7263453577765,-0.9407193308413004,35.77028267466231,181,23
1743,9367e0d634ce4e35a5b6a1c4097dd3fe,TA0440,1,16.0,16.10000000000001,163116.0590219325,612,379,681.1205444335938,220.4152984619141,0.9461916207886152,1942.694643497467,34.60566801619433,0.15879967558799676,231.94890160234212,505.262732697164,-1.2370298718666295,81.66058970408862,191,21
262,0c4ae98a90374250801c729fe9434b15,TA5751,1,26.8,26.800000000000008,251793.0007897089,676,240,672.536376953125,240.24148559570312,0.9340213876720644,1759.072279214859,59.58775510204082,0.28580031664934485,255.6987525477466,465.37642485090964,1.5318879068073905,44.254484123062106,104,139
1365,9bac1c078b9a463e83a46457240c6c76,TA5751,1,26.8,26.799999999999965,270411.5440197253,574,346,560.3212890625,299.2024841308594,0.8454947159648865,1705.6164355278015,49.356437109494536,0.2552211546097038,259.79369372850573,477.5144228911472,-1.3316406439124353,57.05772313009373,198,118
1445,11ceb8a774764eec88d660a8d1ff4550,CG1741,0,27.2,26.799999999999965,239461.7323131825,609,411,763.8875122070312,142.0716094970703,0.9825525860644059,1701.2631850242615,25.76143797622255,0.23010001461036805,248.4021461093774,403.5065227400624,1.0288071101655376,22.149010574897147,95,23
1035,73b208986f1344ec8e3974b167ae7010,TA0154,1,22.9,16.0,314815.80389265594,593,282,662.3687133789062,186.7741241455078,0.9594205518279352,1659.047894001007,46.931324061473106,0.3558604890364206,278.3541827512603,413.27427449021303,1.2807169064589017,39.82567667006259,100,133
267,0a1a9cd7a906452fb193c86825243e6f,TA433,0,17.7,26.799999999999965,210468.32540514358,534,424,627.032958984375,197.9988250732422,0.9488354309220484,1809.505825638771,34.885639869552854,0.3003244130113234,219.54916179618542,440.3596339322222,-0.9367559344721192,26.189203990097102,165,25
541,9b37c8b247d6483399dbd2f88009d3f7,TA5751,1,26.8,20.4,263151.13707869843,630,291,610.299072265625,283.5114440917969,0.8855494617747905,1764.4692478179932,57.70004348771472,0.26028307093611724,247.78519428519428,466.21665301665297,-1.5556798615022065,42.92848753434834,142,116
1321,8f908327c6e14cb1b2e3a160f4c5df02,TA5751,1,26.8,24.5,253111.5296016404,678,241,673.3598022460938,240.52096557617188,0.9340297147865592,1754.2438521385193,59.60173513057149,0.2819794222321351,254.71263837203827,466.45506618305154,1.5319225861852113,44.93210848016877,103,138
1370,8c8065fc66624403a516b2a4ce061af4,TA5751,1,26.8,16.10000000000001,272694.5592855853,597,336,577.27587890625,306.3473205566406,0.8475738259231608,1760.971773982048,51.54880683611293,0.260576815172259,256.22816334338364,476.32430019766633,-1.4152698072711518,54.78307837895785,182,118
455,c8e0f05877494874939f3e5dfa6138dc,TA433,0,17.7,20.39999999999999,214801.10453700973,545,431,627.9682006835938,210.8431854248047,0.9419495087488522,1860.6601536273959,34.325621962165734,0.3104008601204657,217.79659018558257,453.60723465465605,-0.9453961899371864,37.007833647524336,170,18
1351,a6ed746f82274c438c02556a090762e9,TA5751,1,26.8,26.799999999999965,271452.66172487865,616,300,597.30615234375,284.9661560058594,0.8788568388321986,1739.2560447454453,55.84818740861789,0.25286697247706424,254.32631334263127,467.19385402138533,-1.5064688947266345,45.507716699610484,154,123
